Stadt,PCR_pos_N,Inz1,Inz1b,Inz1c,Inz1d,Inz1e,Inz1f,PCR_pos_Hosp,Inz2,N3,Inz3,Inz3c,Inz3d,Inz3e,Inz3f,PCR_pos_Dec,N5,Inz5c,Inz5d,Inz5e,Inz5f,Week,avg_temperature_per_day,max_temp_per_day,min_temp_per_day,max - min temp
Ahrweiler,39,29.88986778259277,29.88986778259277,101.78117370605469,55.4815788269043,24.65939140319824,9.33968448638916,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW39,10.427999999999999,13.975,6.9,7.075
Altenkirchen,50,38.73356628417969,38.73356628417969,56.02633285522461,41.04248046875,50.246665954589844,12.694866180419922,1,0.7746713161468506,1,0.7746713161468506,0.0,0.0,1.522626280784607,0.0,3,2,0,0,0,2,2021KW39,11.334000000000001,15.45,7.75,7.699999999999998
Cochem-Zell,9,14.615609169006348,14.606122016906738,0.0,0.0,29.371450424194336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,4,0,0,0,4,2021KW39,10.427999999999999,13.975,6.9,7.075
KS Koblenz,44,38.80481338500977,38.80481338500977,60.63230895996094,94.6329574584961,44.81864547729492,6.255473613739014,1,0.8819275498390198,1,0.8819275498390198,0.0,0.0,1.6006659269332886,0.0,4,4,0,0,0,4,2021KW39,12.421,17.625,8.15,9.475
Mayen-Koblenz,65,30.262680053710934,30.262680053710934,46.45074081420898,62.629173278808594,30.785388946533203,15.45690631866455,3,1.39673912525177,2,0.9311593770980836,4.222794532775879,0.0,0.0,1.5456906557083132,0,0,0,0,0,0,2021KW39,12.421,17.625,8.15,9.475
Neuwied,87,47.50697708129883,47.50697708129883,105.7895736694336,126.05924987792969,41.04203414916992,16.225570678710938,2,1.0921143293380735,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,11.073,14.55,7.775,6.775
Rhein-Hunsruck,67,64.79627990722656,64.79627990722656,116.95906066894531,168.4810791015625,61.46989822387695,27.682086944580078,1,0.9671086072921752,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,10.938,14.8,7.1,7.7
Rhein-Lahn-Kreis,48,39.16001892089844,39.16001892089844,76.42922973632812,33.70786666870117,43.66741561889648,20.64036750793457,4,3.2633347511291504,1,0.8158336877822876,0.0,0.0,1.617311716079712,0.0,1,1,0,0,0,1,2021KW39,12.92,17.799999999999994,8.625,9.175
Westerwaldkreis,83,40.92096710205078,40.92096710205078,150.32275390625,76.48670959472656,28.477317810058594,11.829119682312012,1,0.4930237233638763,0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,1,4,2021KW39,10.05,12.875,7.050000000000002,5.825
Alzey-Worms,121,92.56780242919922,92.5451431274414,263.00216674804693,259.2740478515625,70.79332733154297,18.579959869384766,8,6.118687152862549,6,4.589015483856201,0.0,9.972078323364258,5.899444103240968,2.6542799472808842,3,2,0,0,1,1,2021KW39,12.865,17.675,8.700000000000001,8.975
Bad Kreuznach,103,64.88352203369139,64.8790283203125,161.86842346191406,110.42214965820312,61.57712936401367,25.948102951049805,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,13.720999999999998,18.7,9.675,9.025
Birkenfeld,82,101.44747924804688,98.1659698486328,301.834228515625,170.8233642578125,83.09830474853516,48.78048706054688,5,5.985730171203612,2,2.394292116165161,0.0,0.0,5.036261081695557,0.0,0,0,0,0,0,0,2021KW39,11.061,15.85,7.275,8.575
Mainz-Bingen,120,56.73088455200195,56.69925308227539,89.88396453857422,108.91928100585938,67.80717468261719,9.773578643798828,1,0.4724937677383423,1,0.4724937677383423,0.0,0.0,0.9163131117820741,0.0,6,4,0,0,2,2,2021KW39,12.92,17.799999999999994,8.625,9.175
KS Mainz,175,80.59947967529297,80.53826904296875,138.31875610351562,187.4684600830078,80.53567504882812,25.760427474975586,1,0.4602186977863312,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW39,13.123,17.85,8.75,9.1
KS Worms,105,125.8102798461914,125.8102798461914,235.1257476806641,248.10047912597656,138.74673461914062,21.493358612060547,5,5.990965843200684,2,2.39638614654541,0.0,0.0,2.274536609649658,4.2986717224121085,0,0,0,0,0,0,2021KW39,13.541999999999998,18.450000000000006,9.475,8.975
Bad Durkheim,50,37.59285354614258,37.58691787719727,87.01326751708984,53.44735336303711,33.316673278808594,25.09982872009277,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,1,2021KW39,13.952,18.7,9.7,9.0
KS Frankenthal,60,123.07691955566406,123.07691955566406,192.81332397460938,139.70382690429688,120.64666748046876,95.89041137695312,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2021KW39,13.541999999999998,18.450000000000006,9.475,8.975
Germersheim,63,48.834938049316406,48.828125,54.0504035949707,111.59581756591795,60.27018737792969,8.259684562683105,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,11.374,15.375,7.499999999999999,7.875
KS Landau i.d.Pf.,29,62.11845397949219,62.11579132080078,124.610595703125,61.21824264526367,53.2562370300293,56.84125137329102,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW39,13.731,17.75,9.55,8.2
KS Ludwigshafen,164,95.0410614013672,95.03610229492188,185.86517333984372,238.2547912597656,85.02226257324219,25.596872329711914,1,0.5794884562492371,1,0.5794884562492371,0.0,7.445462226867676,0.0,0.0,1,1,0,0,1,0,2021KW39,13.905,18.575000000000006,9.725,8.85
KS Neustadt a.d.W.,35,65.65865325927734,65.65495300292969,86.91117858886719,184.01683044433597,76.08612823486328,17.17917823791504,1,1.875855803489685,1,1.875855803489685,0.0,0.0,0.0,5.72639274597168,1,1,0,0,0,1,2021KW39,11.374,15.375,7.499999999999999,7.875
Rhein-Pfalz-Kreis,95,61.38775253295898,61.38616561889648,94.00054931640624,117.93522644042969,72.9086685180664,16.854169845581055,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,13.952,18.7,9.7,9.0
KS Speyer,42,82.77330017089844,82.76187896728516,203.66598510742188,80.71025085449219,95.49274444580078,19.42627716064453,1,1.9705209732055664,1,1.9705209732055664,0.0,0.0,3.8197097778320312,0.0,2,2,0,0,0,2,2021KW39,14.3,19.575,10.225,9.35
Sudliche Weinstr.,65,58.67326354980469,58.67326354980469,119.47431182861328,126.90355682373048,57.3404769897461,25.43953895568848,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,13.952,18.7,9.7,9.0
Bernkastel-Wittlich,48,42.59661865234375,41.99217987060547,40.93663024902344,121.55098724365234,49.1210823059082,14.187617301940918,1,0.8748370409011841,1,0.8748370409011841,0.0,0.0,1.754324436187744,0.0,0,0,0,0,0,0,2021KW39,11.856,16.275,7.95,8.325
Bitburg-Prum,40,39.97801208496094,38.65892028808594,88.08244323730469,67.01514434814453,36.2187614440918,20.846363067626953,1,0.9664730429649352,1,0.9664730429649352,0.0,0.0,0.0,3.474393606185913,1,1,0,0,0,1,2021KW39,11.856,16.275,7.95,8.325
Trier-Saarburg,43,28.56516456604004,28.53710746765137,35.28581619262695,69.31208038330078,29.25352668762207,13.8363618850708,1,0.6636536717414856,1,0.6636536717414856,0.0,0.0,0.0,2.306060314178467,1,1,0,0,1,0,2021KW39,11.856,16.275,7.95,8.325
KS Trier,41,37.04573822021485,37.03034591674805,54.96015548706055,80.8298568725586,35.01987075805664,22.50815963745117,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW39,11.856,16.275,7.95,8.325
Vulkaneifel,16,26.45021629333496,26.44365882873535,16.73640251159668,92.69988250732422,33.370040893554695,4.942176342010498,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,10.427999999999999,13.975,6.9,7.075
Donnersbergkreis,18,23.82875061035156,23.601604461669922,0.0,50.83022689819336,28.82146453857422,17.160017013549805,1,1.3112002611160278,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,11.514000000000001,15.325,7.6,7.725
Kaiserslautern,82,77.12565612792969,65.99225616455078,192.396484375,145.87892150878906,75.69879150390625,15.499550819396973,1,0.8047836422920227,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2021KW39,12.520999999999999,17.400000000000002,8.8,8.6
KS Kaiserslautern,126,126.42732238769531,118.54695129394531,309.5376281738281,135.05401611328122,137.07524108886722,33.068782806396484,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,2021KW39,12.520999999999999,17.400000000000002,8.8,8.6
Kusel,22,31.38149833679199,29.742189407348636,53.95925903320313,0.0,43.66812133789063,12.780097007751465,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,11.606,15.65,7.550000000000002,8.100000000000001
KS Pirmasens,32,79.64954376220703,79.63368225097656,120.5400161743164,107.68126678466795,101.68285369873048,29.470272064208984,1,2.4885525703430176,1,2.4885525703430176,0.0,0.0,5.084142684936523,0.0,0,0,0,0,0,0,2021KW39,12.1,16.175,7.899999999999999,8.274999999999999
Sudwestpfalz,19,20.018543243408203,19.756681442260746,21.99252319335937,48.08462905883789,19.27814102172852,15.200340270996096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,2,2021KW39,12.1,16.175,7.899999999999999,8.274999999999999
KS Zweibrucken,9,26.469810485839844,26.4558048248291,0.0,40.12841033935547,46.2133903503418,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,11.874,16.349999999999998,7.7,8.65
Ahrweiler,46,35.25471496582031,35.25471496582031,50.890586853027344,11.09631633758545,44.69514846801758,21.01428985595703,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW40,7.968,14.6,2.7,11.9
Altenkirchen,26,20.141454696655273,20.141454696655273,7.003291606903076,41.04248046875,24.36202049255371,12.694866180419922,1,0.7746713161468506,1,0.7746713161468506,0.0,0.0,1.522626280784607,0.0,4,3,0,0,0,3,2021KW40,7.652,15.3,2.0,13.3
Cochem-Zell,14,22.73539161682129,22.72063446044922,50.30181121826172,22.11410903930664,29.371450424194336,4.889975547790527,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,3,2021KW40,7.968,14.6,2.7,11.9
KS Koblenz,50,44.096378326416016,44.096378326416016,34.64703369140625,108.1519546508789,49.620643615722656,21.89415740966797,2,1.7638550996780396,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW40,6.516,15.2,1.6,13.6
Mayen-Koblenz,85,39.57427215576172,39.57427215576172,76.01030731201172,50.10333633422852,48.89444351196289,7.728453159332275,1,0.4655796885490418,1,0.4655796885490418,0.0,0.0,0.9054526090621948,0.0,0,0,0,0,0,0,2021KW40,6.516,15.2,1.6,13.6
Neuwied,72,39.31611633300781,39.31611633300781,76.93787384033203,42.01974868774414,43.202144622802734,18.02841186523437,3,1.6381715536117554,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW40,8.472000000000001,14.1,3.9,10.2
Rhein-Hunsruck,65,62.862060546875,62.862060546875,116.95906066894531,90.7205810546875,65.311767578125,33.83366012573242,3,2.9013259410858154,1,0.9671086072921752,0.0,0.0,1.9209343194961548,0.0,1,1,0,0,0,1,2021KW40,7.507999999999999,13.8,3.2,10.6
Rhein-Lahn-Kreis,61,49.76585388183594,49.76585388183594,61.14338302612305,89.88764190673828,58.22322082519531,23.22041320800781,4,3.2633347511291504,1,0.8158336877822876,0.0,0.0,1.617311716079712,0.0,2,1,0,0,0,1,2021KW40,8.404,15.3,3.7,11.6
Westerwaldkreis,93,45.85120391845703,45.85120391845703,106.11017608642578,89.2344970703125,43.66522216796875,15.208868026733398,8,3.9441897869110103,7,3.4511659145355225,0.0,0.0,4.7462196350097665,3.3797485828399663,4,4,0,0,1,3,2021KW40,8.732000000000001,13.1,5.1,8.0
Alzey-Worms,103,78.7973861694336,78.7780990600586,111.7759246826172,139.60910034179688,75.21791076660156,55.7398796081543,6,4.589015483856201,4,3.0593435764312744,0.0,0.0,0.0,10.617119789123537,2,2,0,0,1,1,2021KW40,7.784,14.3,3.6,10.7
Bad Kreuznach,88,55.43446731567383,55.430625915527344,109.83928680419922,84.94011688232422,52.7803955078125,33.93213653564453,6,3.7793610095977774,2,1.2597869634628296,0.0,0.0,1.2566760778427124,1.9960080385208132,0,0,0,0,0,0,2021KW40,8.144,16.5,2.1,14.4
Birkenfeld,62,76.70419311523438,74.22305297851562,267.0072021484375,170.8233642578125,57.9170036315918,22.514070510864254,6,7.182876110076903,3,3.5914380550384517,11.6090087890625,0.0,2.5181305408477783,3.752345323562622,1,1,0,0,0,1,2021KW40,6.148,14.0,0.6,13.4
Mainz-Bingen,96,45.38470458984375,45.35940170288086,98.05523681640624,36.30642700195313,52.2298469543457,14.660367965698242,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2021KW40,8.404,15.3,3.7,11.6
KS Mainz,117,53.88650512695313,53.84558868408203,107.08548736572266,115.36520385742188,51.38943099975586,19.81571388244629,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW40,8.104,15.0,2.6,12.4
KS Worms,57,68.29700469970703,68.29700469970703,163.56573486328125,108.54396057128906,65.96156311035156,21.493358612060547,3,3.5945794582366943,1,1.198193073272705,0.0,0.0,0.0,4.2986717224121085,0,0,0,0,0,0,2021KW40,7.752000000000002,15.6,2.2,13.4
Bad Durkheim,51,38.34471130371094,38.33865737915039,21.75331687927246,32.06841278076172,51.48940658569336,25.09982872009277,4,3.006953477859497,0,0.0,0.0,0.0,0.0,0.0,7,7,0,0,1,6,2021KW40,7.7,14.9,1.6,13.3
KS Frankenthal,48,98.46154022216795,98.46154022216795,227.8702850341797,27.94076538085937,108.58200073242188,47.94520568847656,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2021KW40,7.752000000000002,15.6,2.2,13.4
Germersheim,94,72.86483001708984,72.85466003417969,67.56300354003906,192.7564239501953,82.32025146484375,24.779052734375,4,3.10019850730896,4,3.10019850730896,0.0,0.0,4.410013675689697,2.753228187561035,0,0,0,0,0,0,2021KW40,8.876,12.4,6.3,6.1
KS Landau i.d.Pf.,27,57.83442306518555,57.83194351196289,41.536865234375,183.65472412109372,57.06025695800781,32.480712890625,1,2.1419239044189453,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,1,2,2021KW40,9.944,14.6,6.7,7.9
KS Ludwigshafen,113,65.48561096191406,65.48219299316406,113.33242797851562,96.79100799560548,69.08058929443361,23.26988410949707,2,1.158976912498474,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2021KW40,7.192,15.8,1.8,14.0
KS Neustadt a.d.W.,35,65.65865325927734,65.65495300292969,86.91117858886719,131.44058227539062,64.67321014404297,45.81114196777344,5,9.379279136657717,2,3.75171160697937,0.0,0.0,3.804306507110596,5.72639274597168,1,1,0,0,0,1,2021KW40,8.876,12.4,6.3,6.1
Rhein-Pfalz-Kreis,128,82.7119140625,82.70977783203125,82.94166564941406,90.71940612792969,120.2353515625,18.960941314697266,1,0.6461701393127441,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW40,7.7,14.9,1.6,13.3
KS Speyer,44,86.71488189697266,86.70292663574219,111.09053802490234,134.51708984375,106.95187377929688,32.37712860107422,1,1.9705209732055664,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2021KW40,8.248,16.3,2.8,13.5
Sudliche Weinstr.,79,71.31057739257812,71.31057739257812,162.14370727539062,101.52284240722656,73.46748352050781,31.09276962280273,3,2.7079966068267822,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW40,7.7,14.9,1.6,13.3
Bernkastel-Wittlich,48,42.59661865234375,41.99217987060547,114.62256622314452,109.39588928222656,36.84081268310547,11.350093841552734,1,0.8748370409011841,1,0.8748370409011841,0.0,0.0,1.754324436187744,0.0,0,0,0,0,0,0,2021KW40,7.724,15.3,3.1,12.2
Bitburg-Prum,68,67.96262359619139,65.72016906738281,176.16488647460938,53.61211776733398,68.62502288818361,27.795148849487305,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW40,7.724,15.3,3.1,12.2
Trier-Saarburg,50,33.21530914306641,33.18268585205078,94.0955047607422,34.65604019165039,35.61298751831055,4.612120628356934,1,0.6636536717414856,1,0.6636536717414856,0.0,0.0,1.2718924283981323,0.0,2,2,0,0,1,1,2021KW40,7.724,15.3,3.1,12.2
KS Trier,39,35.23862838745117,35.2239875793457,54.96015548706055,40.4149284362793,41.11028289794922,11.254079818725586,2,1.806358337402344,1,0.903179168701172,0.0,0.0,1.5226030349731443,0.0,2,2,0,0,0,2,2021KW40,7.724,15.3,3.1,12.2
Vulkaneifel,35,57.85984802246094,57.84550476074219,16.73640251159668,115.8748550415039,66.74008178710939,44.47958755493164,2,3.305457353591919,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW40,7.968,14.6,2.7,11.9
Donnersbergkreis,12,15.885833740234375,15.734403610229492,12.253399848937988,50.83022689819336,15.72079849243164,8.580008506774902,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW40,8.156,13.0,4.5,8.5
Kaiserslautern,67,63.01730728149414,53.92050170898438,200.09234619140625,72.93946075439453,51.09668731689453,24.799280166625977,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2021KW40,7.127999999999999,16.1,1.0,15.1
KS Kaiserslautern,71,71.24079132080078,66.80027008056639,154.76881408691406,150.06002807617188,64.93038177490234,33.068782806396484,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,2021KW40,7.127999999999999,16.1,1.0,15.1
Kusel,15,21.39647674560547,20.278764724731445,13.48981475830078,61.626953125,32.02328872680664,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,2021KW40,9.108,14.5,4.7,9.8
KS Pirmasens,17,42.313819885253906,42.305397033691406,96.43201446533205,107.68126678466795,35.58899688720703,22.102703094482425,1,2.4885525703430176,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW40,8.376,14.2,2.5,11.7
Sudwestpfalz,20,21.07215118408203,20.796506881713867,32.988784790039055,16.028209686279293,32.130233764648445,3.0400681495666504,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2021KW40,8.376,14.2,2.5,11.7
KS Zweibrucken,4,11.764359474182127,11.758134841918945,0.0,0.0,23.1066951751709,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW40,8.316,14.5,4.1,10.4
Ahrweiler,70,53.64847946166992,53.64847946166992,109.05125427246094,33.28894805908203,64.73090362548828,23.349210739135746,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2021KW41,5.7451428571428576,9.214285714285714,2.6,6.614285714285713
Altenkirchen,42,32.53619766235352,32.53619766235352,28.013166427612305,82.0849609375,42.6335334777832,5.077946662902832,1,0.7746713161468506,1,0.7746713161468506,0.0,0.0,1.522626280784607,0.0,4,3,0,0,0,3,2021KW41,6.068571428571429,10.057142857142855,2.7285714285714286,7.328571428571428
Cochem-Zell,47,76.32595825195312,76.27641296386719,217.9745178222656,22.11410903930664,78.32386779785156,44.00978088378906,3,4.868707180023193,1,1.6229023933410645,0.0,0.0,0.0,4.889975547790527,5,3,0,0,0,3,2021KW41,5.3365714285714265,8.72857142857143,2.3000000000000003,6.428571428571429
KS Koblenz,30,26.457826614379886,26.457826614379886,34.64703369140625,27.03798866271973,32.013317108154304,12.510947227478027,2,1.7638550996780396,2,1.7638550996780396,0.0,0.0,1.6006659269332886,3.127736806869507,3,2,0,0,0,2,2021KW41,6.926857142857144,10.671428571428573,3.8285714285714287,6.842857142857143
Mayen-Koblenz,74,34.452896118164055,34.452896118164055,33.78235626220703,37.5775032043457,43.461727142333984,18.54828643798828,3,1.39673912525177,3,1.39673912525177,0.0,0.0,0.0,4.63707160949707,3,3,0,0,0,3,2021KW41,6.906857142857144,10.671428571428573,3.6285714285714286,7.042857142857143
Neuwied,102,55.69783401489258,55.69783401489258,57.70340347290039,84.03949737548828,52.92262649536133,52.28239822387695,6,3.2763431072235107,2,1.0921143293380735,0.0,0.0,1.0800535678863523,1.8028413057327268,0,0,0,0,0,0,2021KW41,6.2617142857142865,9.6,3.5428571428571423,6.057142857142857
Rhein-Hunsruck,70,67.69760131835939,67.69760131835939,179.93702697753906,77.760498046875,69.15363311767578,24.606298446655273,1,0.9671086072921752,1,0.9671086072921752,8.996850967407227,0.0,0.0,0.0,1,1,0,0,0,1,2021KW41,5.529714285714285,9.542857142857144,2.3142857142857136,7.228571428571428
Rhein-Lahn-Kreis,35,28.554180145263672,28.554180145263672,22.928768157958984,56.17977523803711,33.963546752929695,15.48027515411377,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,2,2021KW41,7.24742857142857,11.957142857142856,3.842857142857142,8.114285714285714
Westerwaldkreis,93,45.85120391845703,45.85120391845703,159.16526794433594,63.73892593383789,38.91900253295898,10.139245986938477,4,1.9720948934555051,2,0.9860474467277528,0.0,0.0,1.8984878063201904,0.0,4,4,0,0,2,2,2021KW41,5.549714285714287,7.899999999999999,3.6000000000000005,4.3
Alzey-Worms,83,63.49692153930664,63.48138046264648,59.17548751831055,49.860389709472656,54.56985855102539,84.93695831298828,5,3.824179410934448,2,1.5296717882156372,0.0,0.0,0.0,5.3085598945617685,4,3,0,0,0,3,2021KW41,6.3262857142857145,11.3,2.7857142857142856,8.514285714285714
Bad Kreuznach,58,36.536354064941406,36.53382110595703,52.02913665771485,50.96406936645508,47.75369262695313,9.980039596557617,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,2021KW41,7.0697142857142845,12.585714285714285,3.4285714285714284,9.157142857142855
Birkenfeld,70,86.60150909423828,83.80021667480469,348.270263671875,136.65869140625,62.95326232910156,26.266416549682614,2,2.394292116165161,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2021KW41,5.451428571428572,10.1,1.4142857142857144,8.685714285714287
Mainz-Bingen,84,39.71161651611328,39.6894760131836,69.45579528808594,66.56178283691406,43.06671524047852,14.660367965698242,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW41,7.246857142857142,11.957142857142856,3.842857142857142,8.114285714285714
KS Mainz,138,63.55844497680664,63.51018142700195,111.5473861694336,86.5239028930664,70.56459045410156,17.834142684936523,4,1.8408747911453247,1,0.4602186977863312,0.0,0.0,0.0,1.9815714359283447,4,4,0,0,1,3,2021KW41,7.193142857142857,11.714285714285715,3.7571428571428567,7.957142857142857
KS Worms,69,82.67532348632812,82.67532348632812,153.34288024902344,93.03768157958984,100.07960510253906,17.194686889648438,8,9.58554458618164,6,7.189158916473389,20.44571685791016,0.0,6.823609828948975,4.2986717224121085,0,0,0,0,0,0,2021KW41,6.316,11.4,2.1428571428571432,9.257142857142854
Bad Durkheim,51,38.34471130371094,38.33865737915039,72.51105499267578,64.13682556152344,33.316673278808594,29.663434982299805,1,0.7517383694648743,1,0.7517383694648743,0.0,0.0,0.0,2.2818026542663574,7,7,0,0,1,6,2021KW41,6.7628571428571425,11.714285714285712,2.185714285714286,9.528571428571428
KS Frankenthal,62,127.1794891357422,127.1794891357422,122.69938659667969,111.7630615234375,132.71133422851562,123.28767395019531,2,4.102564334869385,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2021KW41,6.316,11.4,2.1428571428571432,9.257142857142854
Germersheim,153,118.59913635253906,118.58258819580078,74.31930541992188,213.04656982421875,147.00045776367188,57.81779098510742,3,2.325148820877075,1,0.77504962682724,0.0,0.0,1.4700045585632324,0.0,0,0,0,0,0,0,2021KW41,5.847428571428572,8.757142857142856,3.5142857142857142,5.242857142857143
KS Landau i.d.Pf.,16,34.27225112915039,34.270782470703125,62.3052978515625,61.21824264526367,38.04016876220703,8.12017822265625,1,2.1419239044189453,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW41,7.235999999999999,10.971428571428573,4.271428571428571,6.700000000000001
KS Ludwigshafen,132,76.4964599609375,76.49246978759766,122.39901733398438,74.45462036132812,81.83393096923828,41.88579177856445,5,2.8974421024322514,2,1.158976912498474,0.0,0.0,1.0627783536911009,2.3269884586334233,3,3,0,0,2,1,2021KW41,6.582285714285714,11.071428571428573,2.071428571428572,9.0
KS Neustadt a.d.W.,33,61.9067268371582,61.90324401855469,52.146705627441406,52.57623672485352,91.30335235595705,22.90557098388672,2,3.75171160697937,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,1,2021KW41,5.847428571428572,8.757142857142856,3.5142857142857142,5.242857142857143
Rhein-Pfalz-Kreis,94,60.7415657043457,60.73999404907226,77.41222381591797,99.79134368896484,78.02507019042969,16.854169845581055,2,1.2923402786254885,1,0.6461701393127441,0.0,0.0,1.2790994644165041,0.0,1,1,0,0,0,1,2021KW41,6.7628571428571425,11.714285714285712,2.185714285714286,9.528571428571428
KS Speyer,38,74.89012908935547,74.87979888916016,74.06035614013672,161.42050170898438,87.85332489013672,32.37712860107422,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW41,6.662285714285715,11.171428571428573,2.357142857142857,8.814285714285715
Sudliche Weinstr.,100,90.2665557861328,90.2665557861328,145.07595825195312,76.14213562011719,100.34583282470705,59.358924865722656,1,0.9026655554771424,1,0.9026655554771424,0.0,0.0,0.0,2.826615333557129,0,0,0,0,0,0,2021KW41,6.7628571428571425,11.714285714285712,2.185714285714286,9.528571428571428
Bernkastel-Wittlich,75,66.55722045898439,65.61277770996094,147.3718719482422,36.46529769897461,82.4532470703125,19.86266326904297,2,1.7496740818023682,2,1.7496740818023682,0.0,0.0,0.0,5.675046920776367,1,1,0,0,0,1,2021KW41,5.983428571428571,10.285714285714286,2.9285714285714284,7.357142857142858
Bitburg-Prum,54,53.97031784057617,52.18954467773438,88.08244323730469,93.82120513916016,64.81252288818361,10.423181533813477,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW41,6.19942857142857,10.428571428571429,3.157142857142857,7.271428571428572
Trier-Saarburg,84,55.801719665527344,55.74691009521485,164.66712951660156,51.98405838012695,53.41948318481445,18.448482513427734,5,3.318268299102783,5,3.318268299102783,0.0,0.0,3.8156774044036874,4.612120628356934,1,1,0,0,0,1,2021KW41,6.19942857142857,10.428571428571429,3.157142857142857,7.271428571428572
KS Trier,35,31.62441062927246,31.611270904541016,54.96015548706055,40.4149284362793,30.45206069946289,22.50815963745117,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW41,6.19942857142857,10.428571428571429,3.157142857142857,7.271428571428572
Vulkaneifel,42,69.43181610107422,69.41460418701172,83.6820068359375,185.39976501464844,73.4140853881836,34.59523391723633,1,1.6527286767959597,1,1.6527286767959597,0.0,0.0,0.0,4.942176342010498,0,0,0,0,0,0,2021KW41,5.3365714285714265,8.72857142857143,2.3000000000000003,6.428571428571429
Donnersbergkreis,24,31.77166748046875,31.468807220458984,49.01359939575195,50.83022689819336,41.9221305847168,4.290004253387451,1,1.3112002611160278,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW41,6.073714285714287,9.085714285714284,3.928571428571429,5.1571428571428575
